(species=Paecilomyces niveus)(type=Full)(curator=GO)
g3107 = 16887
g3107 = 5524
g3107 = 16021
g3107 = 16887
g3107 = 5524
g3107 = 16021
g3107 = 16887
g3107 = 5524
g3107 = 16021
g3107 = 16887
g3107 = 5524
g3107 = 16021
g3107 = 16887
g3107 = 8553
g3107 = 16021
g3107 = 120029
g8021 = 4553
g8021 = 5975
g8021 = 8080
g4462 = 6367
g179 = 4222
g179 = 6508
g7346 = 5515
g7346 = 5515
g7346 = 5515
g7346 = 5515
g7346 = 5515
g7346 = 5515
g7346 = 5515
g7346 = 5634
g7346 = 6325
g7346 = 6351
g7346 = 5515
g7346 = 5515
g7346 = 5515
g7346 = 5515
g7346 = 5515
g7346 = 5515
g7346 = 5515
g7346 = 6355
g7346 = 5515
g7346 = 5515
g7346 = 5515
g7346 = 5515
g4869 = 3677
g4869 = 3678
g4869 = 5524
g4869 = 6270
g4869 = 42555
g4869 = 3677
g4869 = 5524
g4869 = 32508
g4869 = 3677
g4869 = 5524
g4869 = 32508
g4869 = 3677
g4869 = 5524
g4869 = 32508
g4869 = 3677
g4869 = 5524
g4869 = 32508
g4869 = 3677
g4869 = 5524
g4869 = 32508
g4869 = 3677
g4869 = 5524
g4869 = 32508
g4869 = 3677
g4869 = 5524
g4869 = 32508
g4869 = 3677
g4869 = 5524
g4869 = 32508
g4869 = 3677
g4869 = 3678
g4869 = 5524
g4869 = 6270
g4869 = 42555
g4869 = 3677
g4869 = 3678
g4869 = 5524
g4869 = 6270
g4869 = 42555
g4869 = 3677
g4869 = 3678
g4869 = 5524
g4869 = 6270
g4869 = 42555
g4869 = 3677
g4869 = 3678
g4869 = 5524
g4869 = 6270
g4869 = 42555
g4869 = 3677
g4869 = 3678
g4869 = 5524
g4869 = 6270
g4869 = 42555
g4869 = 3677
g4869 = 5524
g4869 = 32508
g6239 = 22857
g6239 = 16021
g6239 = 22857
g6239 = 55085
g6239 = 16020
g6239 = 22857
g6239 = 55085
g6239 = 16020
g6239 = 22857
g6239 = 55085
g6239 = 16020
g6239 = 22857
g6239 = 55085
g6239 = 16020
g6239 = 22857
g6239 = 55085
g6239 = 16020
g6239 = 22857
g6239 = 55085
g6239 = 16020
g6239 = 22857
g6239 = 55085
g7086 = 6364
g7086 = 19843
g7086 = 6364
g7086 = 19843
g7086 = 6364
g7086 = 19843
g220 = 4672
g220 = 5524
g220 = 6468
g220 = 4672
g220 = 5524
g220 = 6468
g220 = 4672
g220 = 5524
g220 = 6468
g1888 = 4100
g1888 = 4100
g1888 = 6031
g1888 = 4100
g1888 = 16758
g3460 = 4672
g3460 = 5524
g3460 = 6468
g3460 = 4672
g3460 = 5524
g3460 = 6468
g3460 = 4672
g3460 = 5524
g3460 = 6468
g9640 = 350
g9640 = 350
g9640 = 350
g10024 = 3824
g10024 = 3824
g5864 = 4571
g5864 = 5509
g5864 = 16020
g5864 = 4571
g5864 = 5509
g5864 = 16020
g5864 = 4571
g5864 = 5509
g5864 = 16020
g5864 = 4571
g5864 = 5509
g5864 = 16020
g5864 = 4571
g5864 = 5509
g5864 = 16020
g5864 = 4571
g5864 = 5509
g5864 = 16020
g5864 = 4571
g5864 = 5509
g5864 = 16020
g5864 = 4571
g5864 = 5509
g5864 = 16020
g5864 = 4571
g5864 = 5509
g5864 = 16020
g2981 = 5839
g2981 = 51603
g2981 = 6511
g2981 = 19773
g2981 = 6511
g2981 = 19773
g2981 = 19773
g2287 = 5634
g2287 = 5634
g7850 = 16746
g7850 = 16747
g7850 = 16746
g7850 = 16747
g7850 = 16747
g6511 = 3735
g6511 = 5840
g6511 = 6412
g6511 = 3735
g6511 = 5840
g6511 = 6412
g6511 = 3735
g6511 = 5840
g6511 = 6412
g8102 = 5506
g8102 = 16705
g8102 = 20037
g8102 = 5506
g8102 = 16705
g8102 = 20037
g8102 = 5506
g8102 = 16705
g8102 = 20037
g8102 = 5506
g8102 = 16705
g8102 = 20037
g8102 = 5506
g8102 = 16705
g8102 = 20037
g8102 = 5506
g8102 = 16705
g8102 = 20037
g8102 = 5506
g8102 = 16705
g8102 = 20037
g8102 = 5506
g8102 = 16705
g8102 = 20037
g8102 = 5506
g8102 = 16705
g8102 = 20037
g8102 = 5506
g8102 = 16705
g8102 = 20037
g8102 = 5506
g8102 = 16705
g8102 = 20037
g8102 = 5506
g8102 = 16705
g8102 = 20037
g8317 = 3924
g8317 = 5525
g8317 = 3924
g8317 = 5525
g8317 = 5525
g8317 = 3924
g8317 = 5525
g8317 = 3924
g8317 = 5525
g8317 = 3924
g8317 = 5525
g8317 = 3924
g8317 = 5525
g8317 = 3924
g8317 = 5525
g8317 = 5525
g8317 = 5525
g8317 = 5525
g6837 = 10181
g6837 = 10181
g2943.1 = 3676
g2943.1 = 3676
g2943.1 = 3676
g2943.1 = 3676
g2838 = 16021
g2838 = 16021
g5775 = 5515
g5775 = 5515
g5775 = 5515
g5775 = 5515
g5775 = 5515
g5775 = 5515
g5775 = 5515
g5775 = 51879
g3449 = 3676
g3449 = 3676
g3449 = 3676
g3449 = 3676
g3449 = 3676
g3449 = 3676
g3449 = 3676
g3449 = 3676
g3449 = 3676
g3449 = 3676
g3449 = 3676
g3449 = 3676
g3449 = 3676
g3449 = 3676
g2197 = 981
g2197 = 6355
g2197 = 8270
g2197 = 981
g2197 = 6355
g2197 = 8270
g2197 = 981
g2197 = 6355
g2197 = 8270
g2197 = 981
g2197 = 6355
g2197 = 8270
g10060.1 = 287
g10060.1 = 4427
g10060.1 = 5737
g10060.1 = 6796
g10060.1 = 287
g10060.1 = 4427
g10060.1 = 5737
g10060.1 = 6796
g10060.1 = 287
g10060.1 = 4427
g10060.1 = 5737
g10060.1 = 6796
g8010 = 5739
g10213 = 22857
g10213 = 55085
g10213 = 22857
g8290 = 16491
g8290 = 16491
g8290 = 16491
g7322 = 4672
g7322 = 5524
g7322 = 6468
g7322 = 4672
g7322 = 5524
g7322 = 6468
g6714 = 6506
g6714 = 16787
g10613 = 981
g10613 = 6355
g10613 = 8270
g10613 = 981
g10613 = 6355
g10613 = 8270
g10613 = 981
g10613 = 6355
g10613 = 8270
g10613 = 981
g10613 = 6355
g10613 = 8270
g10613 = 3677
g10613 = 6351
g10613 = 8270
g10613 = 3677
g10613 = 6351
g10613 = 8270
g6869 = 6812
g6869 = 16021
g6869 = 19829
g6869 = 5524
g6869 = 16021
g6869 = 16887
g6869 = 46872
g6869 = 46872
g9923 = 981
g9923 = 6355
g9923 = 8270
g9923 = 981
g9923 = 6355
g9923 = 8270
g9923 = 981
g9923 = 6355
g9923 = 8270
g8477 = 4198
g8477 = 6508
g8477 = 4198
g8477 = 6508
g8477 = 4198
g8477 = 6508
g6900 = 16491
g4170 = 46872
g4170 = 3676
g4170 = 3676
g4170 = 46872
g4170 = 3676
g4170 = 387
g4170 = 17070
g4170 = 36002
g4170 = 45292
g4170 = 3723
g4170 = 3676
g3552 = 16491
g3552 = 16491
g3552 = 16491
g3552 = 16491
g3552 = 16491
g3552 = 16491
g4832 = 16491
g4832 = 16491
g4832 = 16491
g4832 = 16491
g4832 = 16491
g7416 = 3723
g7416 = 3723
g7416 = 3723
g7416 = 3723
g7416 = 3723
g7416 = 3723
g7416 = 3723
g7255 = 6078
g7255 = 42546
g2974 = 6355
g2974 = 9584
g2974 = 6355
g2974 = 9584
g2974 = 6355
g2974 = 9584
g2974 = 6355
g2974 = 9584
g2974 = 6355
g2974 = 9584
g2974 = 160
g2974 = 6355
g2974 = 9584
g2974 = 18298
g2974 = 160
g2974 = 18298
g2974 = 155
g2974 = 7165
g2974 = 155
g2974 = 7165
g2974 = 6355
g2974 = 160
g2974 = 5515
g2974 = 155
g2974 = 7165
g6573 = 5643
g6573 = 17056
g7110 = 3678
g7110 = 5524
g7110 = 31011
g7110 = 35267
g7110 = 43139
g7110 = 97255
g7110 = 43139
g4139 = 3924
g4139 = 5525
g4139 = 3924
g4139 = 5525
g4139 = 3924
g4139 = 5525
g4139 = 3924
g4139 = 5525
g4139 = 3924
g4139 = 5525
g4139 = 3924
g4139 = 5525
g4139 = 5525
g4139 = 3924
g4139 = 5525
g7719 = 5515
g2958 = 3824
g2958 = 3824
g2958 = 3824
g2958 = 3824
g2958 = 3824
g383 = 22857
g383 = 16021
g383 = 22857
g383 = 55085
g383 = 16020
g383 = 22857
g383 = 55085
g383 = 16020
g383 = 22857
g383 = 55085
g383 = 16020
g383 = 22857
g383 = 55085
g383 = 16020
g383 = 22857
g383 = 55085
g383 = 16020
g383 = 22857
g383 = 55085
g383 = 16020
g383 = 22857
g383 = 55085
g10174 = 4499
g10174 = 50660
g10174 = 50661
g6596 = 5524
g6596 = 5524
g6596 = 16021
g6596 = 42626
g6596 = 55085
g6596 = 5524
g6596 = 16021
g6596 = 42626
g6596 = 55085
g6596 = 5524
g6596 = 16021
g6596 = 5524
g3036 = 3924
g3036 = 5525
g3036 = 3924
g3036 = 5525
g3036 = 5525
g3036 = 3924
g3036 = 5525
g3036 = 3924
g3036 = 5525
g3036 = 3924
g3036 = 5525
g3036 = 3924
g3036 = 5525
g3036 = 5525
g2385 = 4553
g2385 = 3824
g2385 = 5975
g2385 = 3824
g2385 = 5975
g9525 = 5524
g9525 = 70615
g9043 = 3755
g9043 = 3755
g9139 = 166
g9139 = 4822
g9139 = 5524
g9139 = 6428
g9139 = 4812
g9139 = 6418
g9139 = 166
g9139 = 4812
g9139 = 5524
g9139 = 6418
g9139 = 166
g9139 = 4812
g9139 = 5524
g9139 = 6418
g9139 = 166
g9139 = 4822
g9139 = 5524
g9139 = 6428
g9139 = 166
g9139 = 4822
g9139 = 5524
g9139 = 6428
g9139 = 166
g9139 = 4822
g9139 = 5524
g9139 = 6428
g9139 = 166
g9139 = 4822
g9139 = 5524
g9139 = 6428
g9139 = 166
g9139 = 4822
g9139 = 5524
g9139 = 6428
g9139 = 2161
g9139 = 6418
g3838 = 16020
g3838 = 16126
g3838 = 16628
g10264 = 5515
g10264 = 5515
g10264 = 5515
g10264 = 5515
g10264 = 5515
g10264 = 5515
g10264 = 5515
g13 = 16491
g13 = 16491
g13 = 16491
g13 = 16491
g13 = 16491
g13 = 16491
g13 = 16491
g13 = 16491
g1926 = 16491
g1926 = 16491
g1926 = 16491
g1926 = 16491
g1926 = 16491
g1926 = 16491
g1926 = 16491
g1926 = 16491
g1926 = 16491
g9144 = 4764
g9144 = 3866
g9144 = 9073
g9144 = 3855
g9144 = 16765
g9144 = 3824
g9144 = 3856
g9144 = 5737
g9144 = 9073
g9144 = 3855
g9144 = 4764
g9144 = 5737
g9906 = 8410
g8960 = 981
g8960 = 6355
g8960 = 8270
g8960 = 981
g8960 = 6355
g8960 = 8270
g8960 = 981
g8960 = 6355
g8960 = 8270
g8960 = 981
g8960 = 6355
g8960 = 8270
g4605 = 3723
g4605 = 3676
g4605 = 3676
g4605 = 3676
g4605 = 3676
g4605 = 3676
g4605 = 3676
g4605 = 3676
g4605 = 3676
g4605 = 3676
g4605 = 3676
g4605 = 3676
g4605 = 3676
g796 = 16021
g796 = 16021
g8366 = 5515
g8366 = 5515
g8366 = 43087
g8366 = 5515
g8366 = 5515
g8366 = 5515
g8366 = 7165
g8366 = 43087
g8366 = 5515
g8366 = 5515
g8366 = 5515
g8366 = 5515
g8366 = 5515
g8366 = 5515
g8366 = 5515
g8366 = 5515
g8366 = 5515
g8366 = 5515
g8366 = 5515
g8366 = 5515
g8366 = 5515
g8366 = 5515
g8366 = 5515
g8366 = 5515
g8366 = 43087
g8366 = 5515
g8366 = 5515
g3339 = 47834
g3339 = 16491
g3339 = 16491
g3339 = 16491
g3339 = 16491
g3339 = 16491
g3339 = 16491
g10223 = 5085
g10223 = 7264
g9719 = 6807
g9719 = 6807
g9719 = 8418
g9719 = 70773
g7687 = 71949
g8272 = 22857
g8272 = 55085
g113 = 4725
g113 = 6470
g113 = 1902751
g113 = 4725
g113 = 6470
g113 = 1902751
g113 = 4725
g113 = 6470
g113 = 1902751
g113 = 4725
g113 = 6470
g113 = 1902751
g3793 = 4672
g3793 = 5524
g3793 = 6468
g3793 = 4672
g3793 = 5524
g3793 = 6468
g3793 = 4672
g3793 = 5524
g3793 = 6468
g3793 = 4672
g3793 = 5524
g3793 = 6468
g3720 = 4044
g3720 = 9113
g3720 = 9116
g2493 = 3743
g2493 = 6413
g2493 = 3723
g2493 = 3743
g2493 = 6413
g2493 = 3723
g2493 = 3743
g2493 = 6413
g1021 = 3854
g1021 = 6694
g1021 = 16616
g7580 = 4476
g7580 = 9298
g7580 = 4476
g7580 = 5975
g7580 = 8270
g7580 = 4476
g7580 = 9298
g7580 = 4476
g7580 = 9298
g7580 = 4476
g7580 = 9298
g7580 = 4476
g7580 = 9298
g7580 = 4476
g7580 = 9298
g7580 = 4476
g7580 = 9298
g7580 = 4476
g7580 = 9298
g7580 = 4476
g7580 = 9298
g7580 = 4476
g7580 = 5975
g7580 = 8270
g1591 = 8430
g10630 = 16657
g10630 = 34599
g10630 = 16491
g8273 = 3824
g10485 = 5506
g10485 = 16705
g10485 = 20037
g10485 = 5506
g10485 = 16705
g10485 = 20037
g10485 = 5506
g10485 = 16705
g10485 = 20037
g10485 = 5506
g10485 = 16705
g10485 = 20037
g10485 = 5506
g10485 = 16705
g10485 = 20037
g10485 = 5506
g10485 = 16705
g10485 = 20037
g10485 = 5506
g10485 = 16705
g10485 = 20037
g10485 = 5506
g10485 = 16705
g10485 = 20037
g10485 = 5506
g10485 = 16705
g10485 = 20037
g10485 = 5506
g10485 = 16705
g10485 = 20037
g4562 = 16020
g4562 = 30001
g4562 = 46873
g4562 = 55085
g5918 = 1522
g5918 = 42254
g6074 = 3735
g6074 = 5840
g6074 = 6412
g6074 = 3735
g6074 = 5840
g6074 = 6412
g6074 = 3735
g6074 = 5840
g6074 = 6412
g10093 = 4497
g10093 = 5506
g10093 = 16705
g10093 = 20037
g10093 = 4497
g10093 = 5506
g10093 = 16705
g10093 = 20037
g10093 = 4497
g10093 = 5506
g10093 = 16705
g10093 = 20037
g10093 = 4497
g10093 = 5506
g10093 = 16705
g10093 = 20037
g10093 = 5506
g10093 = 16705
g10093 = 20037
g10093 = 5506
g10093 = 16705
g10093 = 20037
g5140 = 5515
g5140 = 6289
g5140 = 3684
g5140 = 6289
g5140 = 43161
g5140 = 3684
g5140 = 6289
g5140 = 43161
g5140 = 5515
g5140 = 5515
g5140 = 5515
g5140 = 6289
g5140 = 6289
g5140 = 6289
g5140 = 6289
g5140 = 5515
g5310.1 = 5515
g5310.1 = 5515
g5310.1 = 5515
g5310.1 = 5515
g5310.1 = 5515
g5310.1 = 5515
g5310.1 = 5515
g5310.1 = 5515
g5310.1 = 5515
g5310.1 = 5515
g5310.1 = 5515
g5310.1 = 5515
g5310.1 = 5515
g5310.1 = 5515
g563 = 16491
g563 = 50660
g563 = 16491
g563 = 50660
g563 = 71949
g563 = 50660
g2141 = 5506
g2141 = 16226
g2141 = 51536
g8323 = 16787
g4255 = 5515
g4255 = 5515
g4255 = 5515
g4255 = 5515
g4255 = 5515
g4255 = 5515
g4255 = 5515
g4255 = 5515
g4255 = 5515
g4255 = 5515
g4255 = 5515
g4255 = 5515
g10412 = 5524
g10412 = 70615
g5263 = 6890
g7892 = 3735
g7892 = 5761
g7892 = 6412
g7892 = 3735
g7892 = 5761
g7892 = 6412
g7566 = 4764
g7566 = 3855
g5454 = 20037
g5454 = 19441
g5454 = 20037
g5454 = 46872
g5454 = 20037
g697 = 5506
g697 = 8610
g697 = 16491
g1456 = 4672
g1456 = 5524
g1456 = 6468
g1456 = 4672
g1456 = 5524
g1456 = 6468
g1456 = 4672
g1456 = 5524
g1456 = 6468
g1456 = 5515
g1456 = 4672
g1456 = 5524
g2394 = 3872
g2394 = 6096
g2394 = 3872
g2394 = 6096
g2394 = 3872
g2394 = 6096
g2394 = 3872
g2394 = 6096
g2394 = 3872
g2394 = 6002
g2394 = 6096
g2394 = 3872
g2394 = 6002
g2394 = 6096
g2394 = 3872
g2394 = 6002
g2394 = 6096
g2394 = 3872
g2394 = 6002
g2394 = 6096
g2394 = 3872
g2394 = 6002
g2394 = 6096
g2394 = 3872
g2394 = 6002
g2394 = 6096
g2394 = 3872
g2394 = 6002
g2394 = 6096
g2394 = 3872
g2394 = 6002
g2394 = 6096
g2394 = 3872
g2394 = 6002
g2394 = 6096
g2394 = 3872
g2394 = 5524
g2394 = 5737
g2394 = 6096
g1270 = 6508
g1270 = 8236
g1270 = 16020
g1270 = 6508
g1270 = 8236
g1270 = 16020
g1270 = 6508
g1270 = 8236
g1270 = 16020
g1270 = 6465
g1270 = 6627
g1270 = 8236
g1270 = 42720
g9667 = 4672
g9667 = 5524
g9667 = 6468
g9667 = 4672
g9667 = 5524
g9667 = 6468
g9667 = 4672
g9667 = 5524
g9667 = 6468
g10145 = 8483
g10145 = 30170
g10145 = 3867
g10145 = 9448
g6156 = 6812
g6156 = 8324
g6156 = 16021
g6156 = 55085
g6156 = 6812
g6156 = 8324
g6156 = 16021
g6156 = 55085
g4653 = 5515
g4653 = 5515
g4653 = 5515
g4653 = 5515
g4653 = 5515
g4653 = 5515
g4653 = 5515
g9804 = 3993
g9804 = 4726
g9804 = 5737
g9804 = 6470
g9804 = 3993
g9804 = 4726
g9804 = 5737
g9804 = 6470
g9804 = 4725
g9804 = 6470
g9804 = 4725
g9804 = 6470
g9804 = 4725
g9804 = 6470
g3324 = 16491
g3324 = 16491
g6384 = 16787
g7840 = 5515
g7840 = 5515
g7840 = 5515
g7840 = 4190
g7840 = 6508
g5996 = 3735
g5996 = 5840
g5996 = 6412
g5996 = 3735
g5996 = 5840
g5996 = 6412
g7638.1 = 4672
g7638.1 = 5524
g7638.1 = 6468
g7638.1 = 4672
g7638.1 = 5524
g7638.1 = 6468
g7638.1 = 4672
g7638.1 = 5524
g7638.1 = 6468
g4418 = 5515
g4418 = 5515
g4418 = 5515
g4342 = 4553
g4342 = 5975
g4342 = 4553
g4342 = 5975
g4342 = 4553
g4342 = 5975
g4342 = 4553
g4342 = 5975
g4342 = 4553
g4342 = 5975
g4342 = 4553
g4342 = 5975
g4342 = 4553
g4342 = 5975
g4342 = 4553
g4342 = 5975
g4342 = 4553
g4342 = 5975
g4342 = 4553
g4342 = 5975
g8404 = 4407
g8404 = 16575
g8404 = 4407
g8404 = 16575
g8404 = 4407
g8404 = 16575
g8404 = 4407
g8404 = 16575
g8404 = 4407
g8404 = 16575
g8404 = 4407
g8404 = 16575
g5915 = 3677
g5915 = 6351
g5915 = 8270
g1558 = 4190
g1558 = 6508
g1558 = 4190
g1558 = 6508
g1558 = 4190
g1558 = 6508
g1558 = 4190
g1558 = 6508
g1558 = 4190
g1558 = 6508
g7163 = 5634
g2039 = 981
g2039 = 6355
g2039 = 8270
g2039 = 981
g2039 = 6355
g2039 = 8270
g2039 = 981
g2039 = 6355
g2039 = 8270
g2039 = 981
g2039 = 6355
g2039 = 8270
g7341 = 47834
g7203 = 981
g7203 = 6355
g7203 = 8270
g7203 = 981
g7203 = 6355
g7203 = 8270
g7203 = 981
g7203 = 6355
g7203 = 8270
g7203 = 3677
g7203 = 6351
g7203 = 8270
g7203 = 3677
g7203 = 6351
g7203 = 8270
g7203 = 981
g7203 = 6355
g7203 = 8270
g4130 = 981
g4130 = 6355
g4130 = 8270
g4130 = 981
g4130 = 6355
g4130 = 8270
g4130 = 981
g4130 = 6355
g4130 = 8270
g4130 = 981
g4130 = 6355
g4130 = 8270
g4130 = 3677
g4130 = 6351
g4130 = 8270
g4130 = 3677
g4130 = 6351
g4130 = 8270
g7832 = 3677
g7832 = 6351
g7832 = 8270
g7832 = 3677
g7832 = 6351
g7832 = 8270
g7832 = 981
g7832 = 6355
g7832 = 8270
g7832 = 981
g7832 = 6355
g7832 = 8270
g7832 = 981
g7832 = 6355
g7832 = 8270
g7832 = 981
g7832 = 6355
g7832 = 8270
g4148 = 9058
g4148 = 16747
g4148 = 9058
g4148 = 16747
g9868 = 981
g9868 = 6355
g9868 = 8270
g9868 = 981
g9868 = 6355
g9868 = 8270
g9868 = 981
g9868 = 6355
g9868 = 8270
g9868 = 981
g9868 = 6355
g9868 = 8270
g5776 = 981
g5776 = 6355
g5776 = 8270
g5776 = 3677
g5776 = 6351
g5776 = 8270
g5776 = 981
g5776 = 6355
g5776 = 8270
g5776 = 981
g5776 = 6355
g5776 = 8270
g5776 = 3677
g5776 = 6351
g5776 = 8270
g5776 = 981
g5776 = 6355
g5776 = 8270
g1706 = 981
g1706 = 6355
g1706 = 8270
g1706 = 981
g1706 = 6355
g1706 = 8270
g1706 = 981
g1706 = 6355
g1706 = 8270
g1706 = 981
g1706 = 6355
g1706 = 8270
g4172 = 4088
g4172 = 6207
g4172 = 6541
g489 = 46872
g489 = 4672
g489 = 5524
g489 = 6468
g489 = 289
g489 = 3723
g489 = 6397
g489 = 31251
g9378 = 71949
g9378 = 16491
g9378 = 50660
g9378 = 50660
g2495 = 35556
g2495 = 35556
g2495 = 35556
g2495 = 7165
g2495 = 7165
g2495 = 4674
g2495 = 5524
g2495 = 6468
g2495 = 35556
g2495 = 7165
g2495 = 35556
g2495 = 35556
